Code,Name,Market,Marcap
437730,삼현,KOSDAQ,1648793484000
476830,알지노믹스,KOSDAQ,1641406587600
006280,녹십자,KOSPI,1609236282600
298020,효성티앤씨,KOSPI,1596914658000
096530,씨젠,KOSDAQ,1595504116700
077970,STX엔진,KOSPI,1567781860150
001800,오리온홀딩스,KOSPI,1556738736700
039200,오스코텍,KOSDAQ,1551369036800
001120,LX인터내셔널,KOSPI,1550400000000
395400,SK리츠,KOSPI,1547230566800
361610,SK아이이테크놀로지,KOSPI,1530236641000
006040,동원산업,KOSPI,1520651214550
003540,대신증권,KOSPI,1508585735950
127120,제이에스링크,KOSDAQ,1483511821100
445680,큐리옥스바이오시스템즈,KOSDAQ,1476039279000
069620,대웅제약,KOSPI,1473812340000
031330,에스에이엠티,KOSDAQ,1469927484900
032350,롯데관광개발,KOSPI,1465463136340
003570,SNT다이내믹스,KOSPI,1446492319500
020560,아시아나항공,KOSPI,1437815162780
099320,쎄트렉아이,KOSDAQ,1433522290200
192080,더블유게임즈,KOSPI,1427091743200
101490,에스앤에스텍,KOSDAQ,1418769453500
397030,에이프릴바이오,KOSDAQ,1404829560000
417200,LS머트리얼즈,KOSDAQ,1390262142450
089970,브이엠,KOSDAQ,1382277321000
032500,케이엠더블유,KOSDAQ,1379668622700
027360,아주IB투자,KOSDAQ,1376211812160
475830,오름테라퓨틱,KOSDAQ,1370398802500
195870,해성디에스,KOSPI,1370200000000
475150,SK이터닉스,KOSPI,1355866759200
073240,금호타이어,KOSPI,1351559650335
189300,인텔리안테크,KOSDAQ,1336818376500
090710,휴림로봇,KOSDAQ,1334336890490
007310,오뚜기,KOSPI,1332603475000
490470,세미파이브,KOSDAQ,1314095748500
294870,IPARK현대산업개발,KOSPI,1312874013600
036540,SFA반도체,KOSDAQ,1304170202790
232140,와이씨,KOSDAQ,1302059704500
051915,LG화학우,KOSPI,1301713840000
003530,한화투자증권,KOSPI,1295868561000
038500,삼표시멘트,KOSDAQ,1293916508940
004000,롯데정밀화학,KOSPI,1284840000000
034230,파라다이스,KOSPI,1282916940700
030610,교보증권,KOSPI,1274105903980
491000,리브스메드,KOSDAQ,1257720867300
281820,케이씨텍,KOSPI,1251275375200
003380,하림지주,KOSDAQ GLOBAL,1241022280680
085660,차바이오텍,KOSDAQ,1238357043360
065350,신성델타테크,KOSDAQ,1236777660000
012630,HDC,KOSPI,1236653624700
195940,HK이노엔,KOSDAQ GLOBAL,1236599742150
458870,씨어스,KOSDAQ,1202687784000
281740,레이크머티리얼즈,KOSDAQ,1195638668120
166090,하나머티리얼즈,KOSDAQ GLOBAL,1194571509600
295310,에이치브이엠,KOSDAQ,1194309996300
090360,로보스타,KOSDAQ,1191450000000
328130,루닛,KOSDAQ,1190122176000
001820,삼화콘덴서,KOSPI,1185030000000
415640,KB발해인프라,KOSPI,1185015449160
093370,후성,KOSPI,1154067350800
